Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,ENVIRONMENTAL SCORE,Mean Environmental,Air Quality Classification,Climate Exposure Classification,Ecological Impact Classification,Energy Management Classification,Environmental Supply Chain Management Classification,GHG Emissions Management Classification,Sustainable Finance Classification,Sustainable Product Classification,Waste Management Classification,Water Management Classification
Semiconductors,Environmental,TW0008131004,,,,2.264241695,,6.698071003,,3.0,7.124937057,5.525514126,4.47141905296,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003532008,,,,1.626939178,,9.057619095,,0.0,9.962287903,6.208278656,4.62390750188,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,TW0003413001,,,,3.394153833,,3.909992218,,0.0,5.007583141,6.140919209,3.91965504645,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,CNE100004PM0,,,,0.0,,0.0,,0.0,8.982290268,3.0,1.88805192948,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Above Median,Below Median
Semiconductors,Environmental,KYG3790U1040,,,,1.339380026,,2.375304461,,0.0,5.011363506,3.41642046,2.28677971139,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Leading,NaN,Leading,Above Median,Below Median
Semiconductors,Environmental,TW0004952007,,,,3.881618023,,2.57168746,,0.0,9.813102722,8.075781822,5.00098062272,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,CNE1000030S9,,,,3.955200911,,5.948047161,,1.5,3.0,6.627857208,4.51816356663,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Leading,Above Median
Semiconductors,Environmental,TW0008081001,,,,4.897409439,,2.82971096,,0.0,7.293715,6.426261902,4.5672724770999995,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,TW0003443008,,,,3.951821327,,9.805476189,,1.5,6.977706432,8.424738884,5.99522767539,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0006488000,,,,4.655208588,,6.578677177,,1.5,7.647378922,3.539699316,4.39491208563,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Leading
Semiconductors,Environmental,KYG393871085,,,,3.726865292,,4.478219032,,0.0,3.412147045,6.716883183,4.090629191610001,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Leading,Above Median
Semiconductors,Environmental,TW0003188009,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0002441003,,,,1.97708869,,2.160734892,,0.0,5.445416451,4.472726345,2.8148358560699998,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Leading,NaN,Leading,Above Median,Leading
Semiconductors,Environmental,CNE000000YF5,,,,4.038836479,,0.342395991,,0.0,6.090528488,1.268894076,2.30678877901,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Above Median,Below Median
Semiconductors,Environmental,US36241U1060,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,JP3771800004,,,,5.754453659,,6.60080719,,3.0,3.0,6.519114017,5.3501752375,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Leading,Above Median
Semiconductors,Environmental,CNE100002Q09,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,CNE100004314,,,,0.884426892,,1.953354239,,1.5,4.811779499,3.074659348,2.21095766796,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Leading,NaN,Above Median,Above Median,Below Median
Semiconductors,Environmental,CNE000001DN1,,,,0.0,,0.342395991,,1.5,0.0,0.0,0.28451147883,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Above Median,Below Median,Below Median
